date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
1994-11-18,1125.54,1126.83,1113.02,1118.44,1118.44,0,0,1120.9575
1994-11-21,1121.92,1126.26,1117.07,1117.08,1117.08,0,0,1120.5825
1994-11-22,1118.45,1120.64,1106.66,1106.7,1106.7,0,0,1113.1125
1994-11-23,1108.82,1114.14,1095.97,1095.97,1095.97,0,0,1103.725
1994-11-24,1098.76,1100.76,1085.15,1085.16,1085.16,0,0,1092.4575
1994-11-25,1089.35,1092.15,1074.55,1079.34,1079.34,0,0,1083.8475
1994-11-28,1084.92,1087.06,1069.47,1069.48,1069.48,0,0,1077.7325
1994-11-29,1072.23,1082.68,1071.01,1081.26,1081.26,0,0,1076.795
1994-11-30,1091.91,1092.03,1074.39,1074.41,1074.41,0,0,1083.185
1994-12-01,1079.47,1079.47,1063.48,1066.21,1066.21,0,0,1072.1575
1994-12-02,1064.26,1064.26,1053.02,1053.63,1053.63,0,0,1058.7925
1994-12-05,1060.6,1067.57,1060.18,1065.03,1065.03,0,0,1063.345
1994-12-06,1071.16,1079.48,1071.16,1075.01,1075.01,0,0,1074.2025
1994-12-07,1077.87,1080.66,1068.57,1068.93,1068.93,0,0,1074.0075
1994-12-08,1068.34,1068.34,1053.3,1053.7,1053.7,0,0,1060.92
1994-12-09,1052.25,1052.61,1037.39,1037.67,1037.67,0,0,1044.98
1994-12-12,1037.08,1044.96,1035.35,1042.78,1042.78,0,0,1040.0425
1994-12-13,1045.06,1045.58,1025.89,1025.89,1025.89,0,0,1035.605
1994-12-14,1025.0,1034.25,1019.36,1026.62,1026.62,0,0,1026.3075
1994-12-15,1030.3,1036.74,1027.87,1027.87,1027.87,0,0,1030.695
1994-12-16,1030.41,1038.01,1026.05,1036.76,1036.76,0,0,1032.8075
1994-12-19,1036.09,1037.33,1028.6,1028.62,1028.62,0,0,1032.66
1994-12-20,1028.75,1032.18,1023.45,1023.99,1023.99,0,0,1027.0925
1994-12-21,1028.17,1032.97,1026.73,1026.86,1026.86,0,0,1028.6825
1994-12-22,1033.88,1040.55,1033.67,1040.2,1040.2,0,0,1037.075
1994-12-23,1050.81,1053.95,1040.53,1040.55,1040.55,0,0,1046.46
1994-12-26,1037.0,1038.55,1024.6,1024.6,1024.6,0,0,1031.1875
1994-12-27,1026.61,1030.64,1017.97,1025.33,1025.33,0,0,1025.1375
1994-12-28,1030.41,1033.46,1026.27,1027.37,1027.37,0,0,1029.3775
1995-01-03,1027.45,1030.65,1013.55,1013.57,1013.57,0,0,1021.305
1995-01-04,1013.98,1013.98,995.48,997.01,997.01,0,0,1005.1125
1995-01-05,996.57,997.1,975.79,976.06,976.06,0,0,986.38
1995-01-06,975.94,982.58,969.68,975.32,975.32,0,0,975.88
1995-01-09,989.02,1001.94,989.02,998.32,998.32,0,0,994.575
1995-01-10,998.43,1007.2,992.92,993.44,993.44,0,0,997.9975
1995-01-11,993.5,1007.19,993.31,999.08,999.08,0,0,998.27
1995-01-12,999.11,1011.69,999.06,1000.77,1000.77,0,0,1002.6575
1995-01-13,1000.81,1003.73,976.59,976.59,976.59,0,0,989.43
1995-01-16,969.01,969.01,957.63,957.88,957.88,0,0,963.3825
1995-01-17,957.93,968.68,949.37,956.96,956.96,0,0,958.235
1995-01-18,956.88,974.47,956.88,966.66,966.66,0,0,963.7225
1995-01-19,966.53,980.06,966.53,974.9,974.9,0,0,972.005
1995-01-20,974.93,980.9,973.02,973.06,973.06,0,0,975.4775
1995-01-23,955.02,955.02,935.38,935.38,935.38,0,0,945.2
1995-01-24,934.96,934.96,916.83,916.83,916.83,0,0,925.895
1995-01-25,916.77,929.28,905.05,916.85,916.85,0,0,916.9875
1995-01-26,916.76,934.9,916.43,927.85,927.85,0,0,923.985
1995-01-27,927.59,927.59,905.71,907.05,907.05,0,0,916.985
1995-02-02,925.6,947.93,925.6,943.35,943.35,0,0,935.62
1995-02-03,943.42,946.06,933.62,940.64,940.64,0,0,940.935
1995-02-06,951.82,963.14,944.62,945.27,945.27,0,0,951.2125
1995-02-07,945.63,952.96,941.02,942.52,942.52,0,0,945.5325
1995-02-08,942.7,961.47,942.7,958.35,958.35,0,0,951.305
1995-02-09,958.79,968.55,958.79,963.77,963.77,0,0,962.475
1995-02-10,963.85,966.34,953.97,955.31,955.31,0,0,959.8675
1995-02-13,954.95,961.82,954.95,957.1,957.1,0,0,957.205
1995-02-14,957.13,960.16,937.66,941.49,941.49,0,0,949.11
1995-02-15,941.48,941.85,924.88,926.09,926.09,0,0,933.575
1995-02-16,925.95,925.95,911.07,923.49,923.49,0,0,921.615
1995-02-17,923.38,925.86,910.17,910.22,910.22,0,0,917.4075
1995-02-20,909.54,929.42,909.52,929.23,929.23,0,0,919.4275
1995-02-21,929.21,934.56,917.73,917.75,917.75,0,0,924.8125
1995-02-22,917.35,921.37,910.7,919.48,919.48,0,0,917.225
1995-02-23,919.18,927.82,907.74,907.86,907.86,0,0,915.65
1995-02-24,907.12,907.12,892.44,892.89,892.89,0,0,899.8925
1995-02-27,911.14,911.14,881.55,894.6,894.6,0,0,899.6075
1995-02-28,893.58,900.2,882.08,885.69,885.69,0,0,890.3875
1995-03-02,885.4,908.94,884.99,903.42,903.42,0,0,895.6875
1995-03-03,903.68,913.06,895.62,907.96,907.96,0,0,905.08
1995-03-06,919.52,933.52,919.52,933.44,933.44,0,0,926.5
1995-03-07,933.49,941.55,930.36,936.13,936.13,0,0,935.3825
1995-03-08,936.23,944.12,935.18,940.08,940.08,0,0,938.9025
1995-03-09,939.54,945.44,935.02,943.75,943.75,0,0,940.9375
1995-03-10,943.78,951.38,940.87,944.37,944.37,0,0,945.1
1995-03-13,954.15,969.45,953.16,953.16,953.16,0,0,957.48
1995-03-14,953.0,958.02,948.01,956.65,956.65,0,0,953.92
1995-03-15,956.52,962.47,952.66,953.71,953.71,0,0,956.34
1995-03-16,953.62,959.42,952.25,954.16,954.16,0,0,954.8625
1995-03-17,953.94,963.0,944.37,952.25,952.25,0,0,953.39
1995-03-20,951.21,963.82,951.21,956.87,956.87,0,0,955.7775
1995-03-21,956.79,957.05,946.04,946.07,946.07,0,0,951.4875
1995-03-22,946.02,950.3,937.91,941.77,941.77,0,0,944.0
1995-03-23,941.86,950.1,938.85,947.27,947.27,0,0,944.52
1995-03-24,947.22,956.08,947.08,953.62,953.62,0,0,951.0
1995-03-27,955.32,957.64,953.2,953.84,953.84,0,0,955.0
1995-03-28,953.92,964.04,947.88,947.9,947.9,0,0,953.435
1995-03-29,947.48,947.59,936.44,936.44,936.44,0,0,941.9875
1995-03-30,936.47,942.46,926.25,926.93,926.93,0,0,933.0275
1995-03-31,926.24,931.92,924.04,931.78,931.78,0,0,928.495
1995-04-03,934.04,934.97,920.61,922.53,922.53,0,0,928.0375
1995-04-04,922.18,922.18,907.86,911.61,911.61,0,0,915.9575
1995-04-06,911.59,916.9,903.04,905.78,905.78,0,0,909.3275
1995-04-07,905.56,914.3,903.77,914.3,914.3,0,0,909.4825
1995-04-10,908.73,916.28,899.37,899.39,899.39,0,0,905.9425
1995-04-11,898.76,898.76,886.57,893.27,893.27,0,0,894.34
1995-04-12,893.17,899.68,893.07,893.47,893.47,0,0,894.8475
1995-04-13,892.92,894.7,888.05,891.2,891.2,0,0,891.7175
1995-04-14,891.14,906.06,887.24,906.06,906.06,0,0,897.625
1995-04-17,911.52,922.11,911.52,918.89,918.89,0,0,916.01
1995-04-18,919.23,925.64,915.7,917.06,917.06,0,0,919.4075
1995-04-19,916.22,919.29,909.86,909.86,909.86,0,0,913.8075
1995-04-20,909.64,914.13,904.92,908.73,908.73,0,0,909.355
1995-04-21,908.8,921.02,897.44,903.16,903.16,0,0,907.605
1995-04-24,891.4,891.4,876.89,876.89,876.89,0,0,884.145
1995-04-25,876.38,881.96,871.65,878.78,878.78,0,0,877.1925
1995-04-26,878.92,887.86,878.92,880.73,880.73,0,0,881.6075
1995-04-27,882.39,897.9,882.39,893.88,893.88,0,0,889.14
1995-04-28,893.76,899.68,877.35,896.84,896.84,0,0,891.9075
1995-05-02,896.16,906.86,896.16,906.04,906.04,0,0,901.305
1995-05-03,906.02,929.83,906.02,920.73,920.73,0,0,915.65
1995-05-04,920.66,929.08,920.66,922.05,922.05,0,0,923.1125
1995-05-08,917.84,917.84,909.47,910.39,910.39,0,0,913.885
1995-05-09,910.2,914.52,901.86,903.01,903.01,0,0,907.3975
1995-05-10,903.18,904.6,891.77,891.87,891.87,0,0,897.855
1995-05-11,891.15,893.17,884.13,884.79,884.79,0,0,888.31
1995-05-12,884.33,889.11,878.49,886.11,886.11,0,0,884.51
1995-05-15,890.23,894.48,887.09,887.11,887.11,0,0,889.7275
1995-05-16,887.49,891.05,884.8,885.33,885.33,0,0,887.1675
1995-05-17,885.04,892.91,884.53,886.2,886.2,0,0,887.17
1995-05-18,885.41,888.4,879.57,880.4,880.4,0,0,883.445
1995-05-19,881.03,883.88,875.02,876.01,876.01,0,0,878.985
1995-05-22,875.0,875.0,863.64,864.13,864.13,0,0,869.4425
1995-05-23,862.83,865.12,856.89,856.89,856.89,0,0,860.4325
1995-05-24,857.12,859.25,847.26,848.63,848.63,0,0,853.065
1995-05-25,848.17,862.18,839.81,862.18,862.18,0,0,853.085
1995-05-26,861.54,861.54,850.3,850.76,850.76,0,0,856.035
1995-05-29,850.36,888.28,850.36,887.5,887.5,0,0,869.125
1995-05-30,888.21,894.25,881.8,881.8,881.8,0,0,886.515
1995-05-31,881.44,883.9,877.77,882.5,882.5,0,0,881.4025
1995-06-01,882.57,891.8,882.57,891.43,891.43,0,0,887.0925
1995-06-02,891.45,902.93,891.45,894.24,894.24,0,0,895.0175
1995-06-05,889.31,899.13,888.53,899.04,899.04,0,0,894.0025
